Contributors,Currency,Age,Relationship,Children,Additional Children,Amount to retire,FI rate,Retire age,Wage
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,4000000.0,45.0,41-45,365000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,1500000.0,21.0,41-45,92000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,3000000.0,35.0,31-35,150000.0
1,United States Dollars (USD),26-30,"In a relationship, but not married",,,750000.0,70.0,31-35,56669.0
1,United States Dollars (USD),21-25,"In a relationship, but not married",,2.0,,,,
2,United States Dollars (USD),41-45,Married,,,,,,
2,United States Dollars (USD),61-65,Married,2.0,0.0,,,61-65,150000.0
2,United States Dollars (USD),41-45,Married,,,,,,
2,United States Dollars (USD),36-40,Married,3.0,0.0,3000000.0,50.0,51-55,100000.0
2,United States Dollars (USD),61-65,Married,2.0,0.0,,,61-65,
1,United States Dollars (USD),51-55,"Single, never married",,,2300000.0,75.0,56-60,82000.0
2,United States Dollars (USD),51-55,Married,2.0,,,,,
2,United States Dollars (USD),41-45,Married,1.0,0.0,,,51-55,83000.0
2,Canadian Dollars (CAD),36-40,Married,,2.0,1500000.0,15.0,56-60,93750.0
2,Canadian Dollars (CAD),26-30,Married,,2.0,3000000.0,40.0,51-55,105000.0
1,United States Dollars (USD),26-30,"Single, never married",,,2500000.0,32.0,36-40,154500.0
1,United States Dollars (USD),41-45,"Single, never married",,,,,,0.0
2,Euros (EUR),31-35,Married,,1.0,110000.00000000001,25.0,51-55,
2,United States Dollars (USD),46-50,Married,1.0,0.0,1000000.0,40.0,61-65,118800.0
2,Euros (EUR),21-25,"In a relationship, but not married",,,,,51-55,4433.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,,,41-45,306000.0
1,Euros (EUR),31-35,"Single, never married",,,825000.0000000001,6.0,46-50,
2,United States Dollars (USD),51-55,Married,3.0,0.0,,,56-60,400000.0
1,Euros (EUR),26-30,"In a relationship, but not married",,2.0,1320000.0,3.0,46-50,
1,United States Dollars (USD),46-50,Married,2.0,0.0,5000000.0,50.0,56-60,
1,United States Dollars (USD),36-40,Married,,,,,,
1,United States Dollars (USD),36-40,Married,,,,,46-50,84000.0
2,United States Dollars (USD),31-35,Married,,2.0,5000000.0,40.0,56-60,
1,United States Dollars (USD),26-30,"Single, never married",,,1000000.0,30.0,36-40,
1,United States Dollars (USD),21-25,"Single, never married",,,,,,
2,Canadian Dollars (CAD),31-35,Married,,,,,,
1,United States Dollars (USD),26-30,Widowed,,,,,,
1,United States Dollars (USD),26-30,Widowed,,,750000.0,5.5,46-50,17627.0
1,United States Dollars (USD),36-40,Married,2.0,1.0,,,41-45,
1,Australian Dollars (AUD),21-25,"Single, never married",,1.0,1400000.0,12.0,41-45,86800.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,,,,
2,United States Dollars (USD),26-30,Married,,2.0,2500000.0,16.0,41-45,150000.0
2,United States Dollars (USD),31-35,Married,2.0,1.0,4000000.0,30.0,51-55,250000.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,,,,
2,British Pound Sterling (GBP),36-40,Married,1.0,0.0,1820000.0,40.0,46-50,75400.0
1,United States Dollars (USD),31-35,"Single, never married",,,,,,
2,United States Dollars (USD),26-30,Married,,,,,,
1,United States Dollars (USD),31-35,"In a relationship, but not married",,2.0,,25.0,51-55,300000.0
2,United States Dollars (USD),41-45,Married,,,2500000.0,67.0,46-50,409577.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,,,,
2,United States Dollars (USD),31-35,Married,3.0,0.0,,,,
1,United States Dollars (USD),41-45,"Divorced - In a relationship, but not married",4.0,,1500000.0,23.3,51-55,
2,United States Dollars (USD),36-40,Married,2.0,0.0,,,,
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,,,,
1,United States Dollars (USD),36-40,"Single, never married",,,2500000.0,70.0,41-45,200000.0
2,United States Dollars (USD),31-35,Married,,2.0,800000.0,60.0,56-60,180000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,,1250000.0,70.0,31-35,190000.0
2,United States Dollars (USD),36-40,Married,2.0,0.0,2000000.0,50.0,51-55,200000.0
2,United States Dollars (USD),36-40,Married,1.0,1.0,2500000.0,29.0,56-60,255000.0
2,United States Dollars (USD),31-35,Married,,,2200000.0,40.0,41-45,229000.0
1,United States Dollars (USD),41-45,Married,2.0,0.0,2000000.0,27.0,56-60,
2,United States Dollars (USD),36-40,Married,1.0,1.0,7500000.0,50.0,51-55,625000.0
1,United States Dollars (USD),41-45,"Single, never married",,,2000000.0,33.0,51-55,
2,United States Dollars (USD),26-30,"In a relationship, but not married",,,,,,
1,United States Dollars (USD),36-40,Widowed,,,2500000.0,92.0,41-45,130000.0
2,United States Dollars (USD),31-35,"In a relationship, but not married",3.0,,2000000.0,25.0,46-50,108000.0
2,United States Dollars (USD),21-25,"In a relationship, but not married",,,1500000.0,13.0,46-50,114000.0
2,Euros (EUR),36-40,Married,1.0,0.0,,,,
2,United States Dollars (USD),41-45,Married,,,,,41-45,
1,United States Dollars (USD),36-40,Married,,,3000000.0,35.0,46-50,250000.0
2,United States Dollars (USD),61-65,Married,3.0,,,,,
1,United States Dollars (USD),31-35,"Single, never married",,,1750000.0,68.0,36-40,
1,United States Dollars (USD),41-45,"Single, never married",,,,,41-45,186000.0
1,United States Dollars (USD),41-45,Divorced - Remarried,,2.0,,,,
2,United States Dollars (USD),41-45,Married,,,,,41-45,315000.0
2,United States Dollars (USD),41-45,Married,2.0,0.0,1500000.0,50.0,41-45,165000.0
1,United States Dollars (USD),51-55,Married,1.0,0.0,2500000.0,75.0,61-65,150000.0
2,United States Dollars (USD),31-35,Married,,1.0,9000000.0,60.0,36-40,3700000.0
1,United States Dollars (USD),31-35,"Single, never married",,3.0,2500000.0,15.7,56-60,58389.0
1,United States Dollars (USD),21-25,"Single, never married",,,2500000.0,22.0,36-40,315000.0
1,United States Dollars (USD),41-45,"Single, never married",,,,,,1753040.0
2,United States Dollars (USD),41-45,Married,,,,,41-45,
1,United States Dollars (USD),36-40,"Single, never married",,2.0,,,,
2,Canadian Dollars (CAD),31-35,Married,,1.0,2250000.0,15.0,51-55,247500.0
2,United States Dollars (USD),51-55,Married,,,,,,0.0
2,United States Dollars (USD),31-35,Married,,2.0,4000000.0,10.0,51-55,150000.0
2,United States Dollars (USD),31-35,Married,,,3000000.0,30.0,56-60,305573.0
1,United States Dollars (USD),56-60,Married,3.0,0.0,,,61-65,170000.0
1,United States Dollars (USD),36-40,"Single, never married",,,2000000.0,50.0,46-50,130000.0
1,United States Dollars (USD),,,,,,,,
2,United States Dollars (USD),36-40,Married,,,,,,
2,United States Dollars (USD),26-30,Married,,,2000000.0,25.0,41-45,
1,United States Dollars (USD),36-40,"Single, never married",,,,,41-45,
1,Euros (EUR),26-30,"Single, never married",,,1650000.0000000002,3.0,46-50,49500.00000000001
2,United States Dollars (USD),51-55,Married,,,,,,
2,United States Dollars (USD),41-45,"In a relationship, but not married",,,,,41-45,447000.0
2,United States Dollars (USD),41-45,Married,3.0,0.0,1200000.0,32.0,51-55,229000.0
1,Canadian Dollars (CAD),31-35,"In a relationship, but not married",,2.0,,,,
2,United States Dollars (USD),41-45,Married,,,4000000.0,15.0,56-60,160000.0
1,United States Dollars (USD),36-40,"In a relationship, but not married",,,,,36-40,168527.0
2,United States Dollars (USD),31-35,Married,,,,,41-45,
1,United States Dollars (USD),36-40,Married,,2.0,2500000.0,68.0,66-70,415000.0
1,United States Dollars (USD),41-45,"In a relationship, but not married",,,2200000.0,80.0,46-50,
1,United States Dollars (USD),36-40,"Single, never married",,,1250000.0,40.0,41-45,117800.0
1,United States Dollars (USD),31-35,Married,,2.0,3000000.0,33.0,41-45,
1,United States Dollars (USD),26-30,"Single, never married",,,2000000.0,38.0,36-40,214552.0
1,Canadian Dollars (CAD),31-35,"Single, never married",,,900000.0,30.0,41-45,72000.0
2,United States Dollars (USD),36-40,Married,1.0,1.0,2000000.0,25.0,61-65,380000.0
1,United States Dollars (USD),26-30,"Single, never married",,,300000.0,5.0,46-50,72000.0
1,United States Dollars (USD),56-60,Married,3.0,0.0,,,61-65,
2,Canadian Dollars (CAD),51-55,Married,,,3000000.0,70.0,56-60,
1,United States Dollars (USD),46-50,Divorced,,,,,46-50,150000.0
2,United States Dollars (USD),31-35,Married,,2.0,,,41-45,200000.0
2,United States Dollars (USD),56-60,Married,4.0,0.0,,,,
2,United States Dollars (USD),26-30,Married,2.0,0.0,2000000.0,20.0,51-55,175000.0
1,United States Dollars (USD),36-40,"In a relationship, but not married",,,1750000.0,53.0,46-50,162000.0
2,United States Dollars (USD),26-30,Married,1.0,3.0,1000000.0,33.0,41-45,190000.0
1,United States Dollars (USD),46-50,Married,2.0,0.0,,,51-55,500000.0
2,United States Dollars (USD),31-35,Married,1.0,0.0,2500000.0,40.0,41-45,270000.0
2,United States Dollars (USD),26-30,"In a relationship, but not married",,,2000000.0,5.0,51-55,161000.0
1,United States Dollars (USD),31-35,"Single, never married",,3.0,800000.0,16.25,51-55,75000.0
2,United States Dollars (USD),26-30,Married,,2.0,1000000.0,20.0,46-50,
1,United States Dollars (USD),21-25,"Single, never married",,3.0,10000000.0,2.5,56-60,130000.0
1,United States Dollars (USD),31-35,Married,1.0,1.0,4000000.0,20.0,41-45,
2,United States Dollars (USD),26-30,Married,,,,,,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,,,,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,4.0,,,,
2,United States Dollars (USD),36-40,Married,,1.0,3000000.0,65.0,51-55,
1,United States Dollars (USD),36-40,"Single, never married",,,2000000.0,26.0,51-55,125000.0
1,United States Dollars (USD),56-60,"Single, never married",,,,,,
1,United States Dollars (USD),56-60,"Single, never married",,,,,56-60,87000.0
1,Euros (EUR),41-45,"Single, never married",,2.0,1100000.0,84.0,41-45,188100.00000000003
1,Euros (EUR),31-35,"Single, never married",,,275000.0,20.0,36-40,
2,United States Dollars (USD),31-35,Married,,,2000000.0,37.0,41-45,253201.0
1,United States Dollars (USD),31-35,"Single, never married",,1.0,,,,
2,United States Dollars (USD),36-40,Married,2.0,0.0,,,,
2,United States Dollars (USD),31-35,Married,2.0,0.0,,,,
1,United States Dollars (USD),26-30,"In a relationship, but not married",,2.0,3000000.0,28.0,36-40,289500.0
1,United States Dollars (USD),36-40,Married,,,,,46-50,
1,United States Dollars (USD),36-40,Married,1.0,1.0,2000000.0,40.0,41-45,205000.0
1,United States Dollars (USD),31-35,"In a relationship, but not married",,2.0,2500000.0,35.0,46-50,238570.0
1,United States Dollars (USD),31-35,"Single, never married",,,2500000.0,44.0,41-45,210000.0
1,United States Dollars (USD),21-25,"Single, never married",,,2000000.0,15.0,41-45,
1,United States Dollars (USD),<20,"Single, never married",,,,,,
1,United States Dollars (USD),26-30,"Single, never married",,,1515000.0,27.0,Undecided,197000.0
2,United States Dollars (USD),26-30,Married,,4.0,2000000.0,40.0,41-45,
2,Canadian Dollars (CAD),36-40,Married,,2.0,,,,
